Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
List view in the accept list,WPDS-11,10203,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:22 PM,12/Jan/25 1:22 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00193:,,,,,,,,,,,,,,To Do,12/Jan/25 1:22 PM
Pending dispatch box list,WPDS-10,10202,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:22 PM,12/Jan/25 1:22 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0018v:,,,,,,,,,,,,,,To Do,12/Jan/25 1:22 PM
Enhanced report view.,WPDS-9,10201,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:22 PM,12/Jan/25 1:22 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0018n:,,,,,,,,,,,,,,To Do,12/Jan/25 1:22 PM
Adding job descriptions to the box assignment system,WPDS-8,10200,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:20 PM,12/Jan/25 1:21 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0018f:,,,,,,,,,,,,,,To Do,12/Jan/25 1:20 PM
Deletion of old job number (limited to running and previous year only ),WPDS-7,10199,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:17 PM,12/Jan/25 1:20 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00187:,,,,,,,,,,,,,,To Do,12/Jan/25 1:17 PM
Adding barcode in Machine Number,WPDS-6,10198,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:16 PM,12/Jan/25 1:16 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0017z:,,,,,,,,,,,,,,To Do,12/Jan/25 1:16 PM
Company wise automatic field selection( Urgent Need),WPDS-5,10197,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:16 PM,12/Jan/25 1:16 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0017r:,,,,,,,,,,,,,,To Do,12/Jan/25 1:16 PM
box assigning can't be happen more that one time at a time ,WPDS-4,10196,Bug,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 9:46 AM,12/Jan/25 9:46 AM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0017j:,,,,,,,,,,,,,,To Do,12/Jan/25 9:46 AM
Box barcode dislpayed an error if the barcode refreshes ,WPDS-3,10195,Bug,Done,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,08/Jan/25 4:49 PM,09/Jan/25 11:44 AM,,09/Jan/25 11:44 AM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,08/Jan/25 4:50 PM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20250108-164711.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10172,,,,,,,,,,,,,,,,,0|i0017b:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_68113250,Done,09/Jan/25 11:44 AM
Error In data reading box accept by default the data is 70 KG [  ref wpds-1 attachment],WPDS-2,10194,Bug,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,08/Jan/25 4:30 PM,08/Jan/25 4:30 PM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00173:,,,,,,,,,,,,,,To Do,08/Jan/25 4:30 PM
Box Accept more than input job number ,WPDS-1,10193,Bug,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,08/Jan/25 4:23 PM,08/Jan/25 4:24 PM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,08/Jan/25 4:24 PM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20250108-161700.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10171,,,,,,,,,,,,,,,,,0|i0016v:,,,,,,,,,,,,,,To Do,08/Jan/25 4:23 PM
